14.3497, 51.9441, 4.1825
14.3509, 51.9451, 4.1838
14.3495, 51.9460, 4.1830
14.3485, 51.9447, 4.1813
14.3490, 51.9449, 4.1823
14.3496, 51.9469, 4.1833
14.3497, 51.9446, 4.1815
14.3496, 51.9451, 4.1821
14.3499, 51.9448, 4.1817
14.3503, 51.9455, 4.1829
14.3503, 51.9449, 4.1821
14.3503, 51.9450, 4.1824
14.3494, 51.9446, 4.1820
14.3501, 51.9457, 4.1832
14.3510, 51.9466, 4.1832
14.3480, 51.9464, 4.1818
14.3502, 51.9453, 4.1817
14.3483, 51.9444, 4.1870
14.3497, 51.9437, 4.1887
14.3505, 51.9443, 4.1889
14.3481, 51.9438, 4.1877
14.3480, 51.9431, 4.1892
14.3491, 51.9439, 4.1874
14.3494, 51.9431, 4.1889
14.3490, 51.9435, 4.1874
14.3496, 51.9429, 4.1894
14.3488, 51.9438, 4.1899
14.3484, 51.9437, 4.1878
14.3490, 51.9436, 4.1875
14.3478, 51.9445, 4.1872
14.3505, 51.9441, 4.1886
14.3502, 51.9429, 4.1900
14.3499, 51.9435, 4.1879
14.3489, 51.9442, 4.1879
14.3495, 51.9434, 4.1880
14.3501, 51.9433, 4.1872
14.3490, 51.9437, 4.1885
14.3495, 51.9435, 4.1876
14.3499, 51.9434, 4.1882
14.3490, 51.9429, 4.1892
14.3492, 51.9433, 4.1883
14.3499, 51.9427, 4.1896
14.3501, 51.9439, 4.1900
14.3491, 51.9428, 4.1880
14.3504, 51.9429, 4.1888
14.3497, 51.9434, 4.1872
14.3498, 51.9431, 4.1883
14.3498, 51.9431, 4.1870
14.3496, 51.9436, 4.1889
14.3504, 51.9427, 4.1892
14.3490, 51.9428, 4.1894
14.3497, 51.9437, 4.1889
14.3500, 51.9434, 4.1898
